id,apartment_id,service_id,period,value
1,1,1,2024-10,150
2,1,1,2024-11,180
3,1,1,2024-12,210
4,1,3,2024-10,5
5,1,3,2024-11,5.5
6,1,3,2024-12,6
7,1,4,2024-10,3
8,1,4,2024-11,3.5
9,1,4,2024-12,4
10,1,1,2025-01,2344
11,1,1,2025-02,2344
12,1,1,2025-03,2354
13,1,1,2025-04,2664
14,1,1,2025-05,2766
15,1,1,2025-06,3076
16,1,1,2025-07,3181
17,1,1,2025-08,3357
18,1,3,2025-01,42
19,1,3,2025-02,42
20,1,3,2025-03,42
21,1,3,2025-04,45
22,1,3,2025-05,47
23,1,3,2025-06,49
24,1,3,2025-07,50
25,1,3,2025-08,52
26,1,4,2025-01,41
27,1,4,2025-02,41
28,1,4,2025-03,41
29,1,4,2025-04,49
30,1,4,2025-05,50
31,1,4,2025-06,54
32,1,4,2025-07,56
33,1,4,2025-08,57
34,2,1,2025-01,2105
35,2,1,2025-02,2105
36,2,1,2025-03,2200
37,2,1,2025-04,2275
38,2,1,2025-05,2354
39,2,1,2025-06,2431
40,2,1,2025-07,2636
41,2,1,2025-08,2879
42,2,3,2025-01,49
43,2,3,2025-02,49
44,2,3,2025-03,52
45,2,3,2025-04,53
46,2,3,2025-05,55
47,2,3,2025-06,57
48,2,3,2025-07,59
49,2,3,2025-08,61
50,2,4,2025-01,47
51,2,4,2025-02,47
52,2,4,2025-03,50
53,2,4,2025-04,52
54,2,4,2025-05,55
55,2,4,2025-06,59
56,2,4,2025-07,61
57,2,4,2025-08,63
58,2,1,2025-09,3009
59,2,3,2025-09,63
60,2,4,2025-09,66
61,3,1,2025-01,3395
62,3,1,2025-02,3395
63,3,1,2025-03,3395
64,3,1,2025-04,3509
65,3,1,2025-05,3577
66,3,1,2025-06,3688
67,3,1,2025-07,4068
68,3,1,2025-08,4310
69,3,1,2025-09,4500
70,3,3,2025-01,63
71,3,3,2025-02,63
72,3,3,2025-03,63
73,3,3,2025-04,65
74,3,3,2025-05,68
75,3,3,2025-06,71
76,3,3,2025-07,79
77,3,3,2025-08,83
78,3,3,2025-09,88
79,3,4,2025-01,37
80,3,4,2025-02,37
81,3,4,2025-03,37
82,3,4,2025-04,39
83,3,4,2025-05,41
84,3,4,2025-06,44
85,3,4,2025-07,49
86,3,4,2025-08,52
87,3,4,2025-09,55
88,4,1,2025-01,1669
89,4,1,2025-02,1729
90,4,1,2025-03,1814
91,4,1,2025-04,1814
92,4,1,2025-05,1814
93,4,1,2025-06,1814
